unique_id,program_code,starname,ra,dec,exptime,n_exp,n_inter_max,tau_inter,n_intra_max,n_intra_min,tau_intra,weather_band,gaia_id,teff,jmag,gmag,pmra,pmdec,epoch
67ec5c91b18f39f025252537,2025B_C035,HD142373,238.1689210382104,42.45151746635472,60,8,25,0,1,1,0.0,7,DR3_1384195086792268800,0,3.49,4.424265,438.839,629.541,2000
67ec5c91b18f39f025252531,2025B_C035,HD4614,12.276227476217498,57.81517728881,30,6,12,0,1,1,0.0,7,DR3_425040000962559616,0,2.37,3.320067,1078.609,-551.133,2000
67ec5c91b18f39f025252532,2025B_C035,HD34411,79.78531437463374,40.09905141137222,90,6,19,0,1,1,0.0,7,DR3_188771135583573504,0,3.61,4.525885,520.569,-664.488,2000
67ec5c91b18f39f025252533,2025B_C035,HD10476,25.624010521366664,20.26851268269722,30,4,14,0,1,1,0.0,7,DR3_96331172942614528,0,3.83,4.99968,-300.737,-673.539,2000
67ec5c91b18f39f025252534,2025B_C035,HD95128,164.86655313083833,40.430255714645554,75,6,23,0,1,1,0.0,7,DR3_777254360337133312,0,3.96,4.866588,-316.85,55.18,2000
67ec5c91b18f39f02525253a,2025B_C035,HD219134,348.3207290015033,57.16835661767194,45,3,15,0,1,1,0.0,7,DR3_2009481748875806976,0,3.86,5.231896,2074.414,294.452,2000
67ec5c91b18f39f025252539,2025B_C035,HD201092,316.73026601852746,38.74204403329556,60,3,20,0,1,1,0.0,7,DR3_1872046574983497216,0,3.55,5.450645,4105.976,3155.942,2000
67ec5c91b18f39f025252538,2025B_C035,HD201091,316.72474828959247,38.749417319436944,60,3,19,0,1,1,0.0,7,DR3_1872046609345556480,0,3.12,4.766713,4164.209,3249.614,2000
67ec5c91b18f39f025252535,2025B_C035,HD88230,152.8422497884929,49.4542363908575,300,1,35,0,1,1,0.0,7,DR3_823773494718931968,0,3.97,5.961174,-1363.287,-505.77,2000
67ec5c91b18f39f025252536,2025B_C035,HD109358,188.43560104856124,41.35747815357195,45,6,24,0,1,1,0.0,7,DR3_1534011998572555776,0,3.2,4.094672,-704.702,292.155,2000
67dde1d975d9a5f7c22d1c84,2025B_C146,gliese 12,3.9551763114787497,13.556198965134167,1200,2,15,3,1,1,0.0,7,DR3_2768048564768256512,0,8.619,11.399355,618.065,329.446,2000
67d347a575d9a5f7c22d0f2f,2025B_C147,Kepler 86,289.76359726057,51.962613874670005,1200,1,9,5,1,1,0.0,7,DR3_2139300262131379584,0,11.501,12.574943,3.427,16.047,2000
67d3468c75d9a5f7c22d0f0e,2025B_C147,Kepler 1654,282.18579231074995,44.4344646554,1200,1,9,5,1,1,0.0,7,DR3_2105415302330571008,0,12.281,13.394148,-16.151,-0.685,2000
68805d974b1fc31164fb6b77,2025B_C319,WTP15,347.6614583333333,61.58825,1200,3,1,0,1,1,0.0,,NoGaiaName,0,12,17,0.0,0.0,2000
67e9cc0d75d9a5f7c22d1de6,2025B_C319,FU Ori,86.34316666666665,9.070083333333333,1800,1,28,1,1,1,0.0,7,DR3_3336092864798790144,0,6.519,9.265527,2.441,-2.507,2000
68265168dee1f5045920f4da,2025B_D419,Kepler-374,294.13792947254,42.37047828766,1200,1,20,1,1,1,0.0,7,DR3_2077745168807120128,0,13.503,14.648512,-6.412,-16.445,2000
67cba615bfa52cdc498b3011,2025B_N030,TOI-1432,329.4015646292799,36.32159309864,600,1,20,2,1,1,0.0,7,DR3_1949538745753745408,0,8.811,9.930989,42.546,-43.924,2000
688cd9fb4b1fc31164fb8a0a,2025B_N030,TOI-2079,185.33939802560997,57.7524667945,600,1,20,1,1,1,0.0,,DR3_1575015639029998080,0,9.463,11.950216,-149.278,-23.939,2000
67cba615bfa52cdc498b3012,2025B_N030,TOI-4363,37.11054166666666,-12.54936388888889,600,1,20,1,1,1,0.0,7,NoGaiaName,0,10.058,12.0833,-8.14939,-98.3302,2015.5
67cba615bfa52cdc498b3014,2025B_N030,K2-155,65.46868864410999,21.35359385532,600,1,30,1,1,1,0.0,7,DR3_145333927996558976,0,10.274,12.241566,200.181,-76.775,2000
