Date,Time,Dark,TelNr,Instrument,Account,PI,Institution,ProjCode,
2025-08-02,10:28 - 15:07 ( 50%),44,1,KPF-CC,kpf1,Lauren Weiss,Notre Dame,D419,
2025-08-16,10:26 - 15:13 ( 50%),48,1,KPF-CC,kpf1,Charles Beichman,CIT,C147,
2025-08-17,05:39 - 10:26 ( 50%),58,1,KPF-CC,kpf1,Lauren Weiss,Notre Dame,D419,
2025-08-27,10:24 - 15:16 ( 50%),78,1,KPF-CC,kpf1,Andrew Howard,CIT,C035,
2025-08-28,10:23 - 15:17 ( 50%),71,1,KPF-CC,kpf1,Charles Beichman,CIT,C146,
2025-10-23,10:07 - 15:31 ( 50%),92,1,KPF-CC,kpf1,Ian Crossfield,NASA,N109,
2025-10-25,04:40 - 10:06 ( 50%),77,1,KPF-CC,kpf1,Andrew Howard,CIT,C035,
2025-10-30,04:38 - 10:06 ( 50%),35,1,KPF-CC,kpf1,Paul Robertson,NASA,N426,
2025-11-01,04:37 - 10:06 ( 50%),17,1,KPF-CC,kpf1,Paul Robertson,NASA,N426,
2025-11-05,10:06 - 15:36 ( 50%),0,1,KPF-CC,kpf1,Howard Isaacson,NASA,N427,
2025-11-07,10:06 - 15:37 ( 50%),11,1,KPF-CC,kpf1,Rafael Luque,NASA,N030,
2025-11-08,10:06 - 15:38 ( 50%),21,1,KPF-CC,kpf1,Howard Isaacson,NASA,N427,
2025-11-12,12:52 - 15:39 ( 25%),57,1,KPF-CC,kpf1,Courtney Dressing,UCB,U226,
2025-11-12,04:33 - 12:52 ( 75%),57,1,KPF-CC,kpf1,Paul Robertson,UCI,U202,
2025-11-13,04:33 - 10:06 ( 50%),65,1,KPF-CC,kpf1,Erik Petigura,UCLA,U246,
2025-11-13,10:06 - 15:40 ( 50%),65,1,KPF-CC,kpf1,Ian Crossfield,NASA,N109,
2025-11-14,12:53 - 15:40 ( 25%),72,1,KPF-CC,kpf1,Lauren Weiss,NASA,N055,
2025-11-15,04:32 - 07:19 ( 25%),79,1,KPF-CC,kpf1,Rafael Luque,NASA,N030,
2025-11-17,04:32 - 10:07 ( 50%),94,1,KPF-CC,kpf1,Erik Petigura,UCLA,U246,
2025-11-22,04:32 - 07:20 ( 25%),87,1,KPF-CC,kpf1,Lynne Hillenbrand,CIT,C319,
2025-11-24,04:32 - 10:09 ( 50%),71,1,KPF-CC,kpf1,Andrew Howard,CIT,C035,
2025-11-28,04:32 - 07:21 ( 25%),39,1,KPF-CC,kpf1,Lynne Hillenbrand,CIT,C319,
2025-11-29,12:59 - 15:48 ( 25%),30,1,KPF-CC,kpf1,Lynne Hillenbrand,CIT,C319,
2025-11-30,12:59 - 15:49 ( 25%),22,1,KPF-CC,kpf1,Courtney Dressing,UCB,U226,
2025-12-04,04:33 - 10:12 ( 50%),0,1,KPF-CC,kpf1,Charles Beichman,CIT,C146,
2025-12-06,04:34 - 10:13 ( 50%),10,1,KPF-CC,kpf1,Lauren Weiss,NASA,N055,
2025-12-07,13:03 - 15:53 ( 25%),19,1,KPF-CC,kpf1,Rafael Luque,NASA,N030,
2025-12-08,13:03 - 15:54 ( 25%),29,1,KPF-CC,kpf1,Rafael Luque,NASA,N030,
2025-12-11,10:15 - 15:55 ( 50%),52,1,KPF-CC,kpf1,Rafael Luque,NASA,N030,
2025-12-18,04:38 - 07:28 ( 25%),100,1,KPF-CC,kpf1,Ryan Foley,UCSC,U268,
2025-12-18,13:08 - 15:59 ( 25%),100,1,KPF-CC,kpf1,Ryan Foley,UCSC,U268,
2025-12-22,04:40 - 10:21 ( 50%),83,1,KPF-CC,kpf1,Lauren Weiss,NASA,N055,
2025-12-23,10:21 - 13:11 ( 25%),75,1,KPF-CC,kpf1,Ryan Foley,UCSC,U268,
2025-12-23,13:11 - 16:02 ( 25%),75,1,KPF-CC,kpf1,Lauren Weiss,NASA,N055,
2025-12-28,10:23 - 16:04 ( 50%),34,1,KPF-CC,kpf1,Ian Crossfield,NASA,N109,
2025-12-30,04:44 - 10:24 ( 50%),15,1,KPF-CC,kpf1,Lauren Weiss,NASA,N055,
2025-12-31,10:25 - 16:05 ( 50%),5,1,KPF-CC,kpf1,Ryan Foley,UCSC,U268,
2026-01-01,13:15 - 16:06 ( 25%),0,1,KPF-CC,kpf1,Lynne Hillenbrand,CIT,C319,
2026-01-03,04:47 - 07:36 ( 25%),0,1,KPF-CC,kpf1,Lynne Hillenbrand,CIT,C319,
2026-01-03,10:26 - 16:06 ( 50%),0,1,KPF-CC,kpf1,Courtney Dressing,UCB,U226,
2026-01-04,10:27 - 13:16 ( 25%),6,1,KPF-CC,kpf1,Lynne Hillenbrand,CIT,C319,
2026-01-05,10:28 - 16:07 ( 50%),15,1,KPF-CC,kpf1,Andrew Howard,CIT,C035,
2026-01-14,04:53 - 09:23 ( 40%),84,1,KPF-CC,kpf1,Ryan Foley,UCSC,U268,
2026-01-15,04:54 - 09:24 ( 40%),92,1,KPF-CC,kpf1,Ryan Foley,UCSC,U268,
2026-01-20,04:57 - 07:45 ( 25%),87,1,KPF-CC,kpf1,Rafael Luque,NASA,N030,
2026-01-23,04:58 - 10:34 ( 50%),63,1,KPF-CC,kpf1,Andrew Howard,CIT,C035,
2026-01-25,04:59 - 10:34 ( 50%),45,1,KPF-CC,kpf1,Ian Crossfield,NASA,N109,
2026-01-26,10:34 - 16:09 ( 50%),36,1,KPF-CC,kpf1,Ian Crossfield,NASA,N109,
