ticid,observe_kpf,observe_neid,toi,tess_mag,num_pc,ra,dec,epoch,period,planet_radius,planet_insolation,planet_eqtemp,stellar_distance,stellar_teff,stellar_logg,stellar_radius,mass,mh,v_mag,vsini,t_sec_kpf
39858507,True,False,3460.01,8.82719,1,255.920846,-30.770097,2459378.778,4.6288384,17.2704,4580.01,2291.0,205.426,5978.9,3.89,2.22,1.375,,9.430000305,5.352172705,120
129637892,True,False,155.01,9.0284,1,321.11498,-37.850181,2460168.814,5.4499753,5.28759,839.203,1499.0,187.131,6220.5,3.99,1.79,1.35,,9.56000042,7.336504473,120
14091704,True,False,445.01,9.1577,1,77.323576,-36.591034,2459199.549,0.7649571,12.9538,12939.9,2971.0,176.617,6307.9,3.97,1.65,1.21,-0.38,9.579999924,8.455680353,120
170729775,True,False,2449.01,9.8999,1,67.984371,-34.455533,2459186.902,16.6542431,11.9082,362.642,1215.0,156.786,6054.0,4.43,1.08,1.13,,10.40200043,5.027232638,120
47617161,True,False,1973.01,10.7565,1,220.4268,-33.826133,2459335.075,3.919485553,,422.069467,1156.021027,204.984,5149.0,4.35,,,,11.37899971,1.967754985,120
79605791,True,False,4416.01,9.5378,1,251.780014,-39.947307,2459378.526,9.3305377,15.2895,299.515,1158.0,236.604,6238.0,3.94,1.96,1.21,,10.14000034,7.539219143,120
106940971,True,False,4425.01,9.3777,1,264.841449,-35.391821,2460100.181,5.412802,11.01710437,776.5799485,1346.375787,175.367,6468.0,4.22,1.473639965,1.32,,9.873000145,9.484695749,120
57093805,True,False,3344.01,10.9308,1,272.450977,-31.891545,2458678.654,3.2229781,14.58,2054.13,1875.0,248.097,5488.0,4.2,1.29,0.962,,11.55000019,2.571587396,120
186936449,True,False,2665.01,10.3716,1,134.15896,-34.628475,2460009.765,2.8456505,6.4972,758.965,1462.0,222.0,6112.0,4.27,1.3,1.15,,11.02000046,5.461460267,120
138727432,True,False,853.01,10.7598,1,32.914289,-37.892988,2459139.838,6.8646554,17.29,1640.28,1772.0,287.558,5937.0,4.19,1.38,1.08,,11.28999996,4.284302462,120
181748381,True,False,6261.01,10.4441,1,132.055241,-39.686292,2460013.717,5.4920894,8.83359,265.101,1124.0,267.542,6090.0,4.12,1.53,1.14,,11.19999981,5.291096632,131
366074071,True,False,7035.01,10.2955,1,356.781098,69.0485,2460448.967,4.18142,14.794,1099.82,1638.0,318.756,6293.8,4.04,1.76,1.242,,10.85999966,7.178408361,132
345645749,True,False,4041.01,10.9342,1,246.855462,21.616792,2459731.379,7.8808589,10.2354,289.546,1149.0,311.111,5914.8,4.17,1.41,1.077,0.28,11.48999977,4.161042412,135
197743152,True,False,6191.01,11.4105,1,337.043134,49.57365,2459880.418,3.7752321,10.759,96.9264,874.0,303.581,5585.0,4.26,1.22,0.986,,11.97000027,2.82892678,136
64837857,True,False,6650.01,10.0252,1,338.805332,54.773557,2460582.712,20.3292125,14.2065,162.179,994.0,237.169,6500.6,4.32,1.37,1.438,,10.39000034,10.0,139
4711,True,False,3129.01,10.9198,1,218.918812,-26.179337,2459358.079,2.3348152,11.4665,520.71,1330.0,321.683,5949.1,4.12,1.51,1.088,-0.1,11.47599983,4.353706316,139
452508760,True,False,5938.01,11.3519,1,303.908842,28.659226,2459820.183,2.260431,3.92152,249.273,1106.0,114.035,4452.0,4.54,0.74,0.698,,12.45400047,1.477615538,142
202425357,True,False,5386.01,11.3502,1,226.106919,60.536232,2459610.418,3.6215615,15.1893,346.581,1202.0,394.486,5920.2,4.17,1.43,1.1,,11.55000019,4.190547811,142
408114363,True,False,2450.01,11.4894,1,77.952525,6.795745,2459179.177,17.88324141,6.417116403,27.12795111,582.0683673,188.967,5426.0,4.63305,0.776644,0.945,,12.20600033,2.430280733,154
67478724,True,False,6171.01,11.0537,1,349.6554,32.301651,2459848.431,3.7473877,12.686,1322.91,1680.0,492.525,5876.0,3.79,2.18,1.06,,11.60000038,4.838455649,156
409594381,True,False,4214.01,11.0071,1,110.24951,-13.926265,2459248.541,3.491383,11.154,555.531,1352.0,346.881,5936.5,4.28,1.59,1.044,,11.78999996,4.28146872,165
58461209,True,False,3118.01,11.4553,1,201.376867,-28.413642,2458594.48,3.8098324,10.3911,618.962,1389.0,423.105,5406.0,3.91,1.78,0.94,,12.13799953,3.71262301,168
233823679,True,False,4478.01,11.4682,1,303.549181,54.694405,2459819.788,2.7586362,7.78435,787.087,1475.0,296.293,5774.0,4.32015,1.17,1.035,,12.09000015,3.489484304,172
265010875,True,False,6104.01,10.4146,1,126.585367,5.2584,2459968.466,6.409555471,17.4517774,2737.145339,1844.778439,614.477,6316.0,3.53,3.180480003,1.24,,11.05000019,8.57394726,173
125552076,True,False,3856.01,11.655,1,145.222922,27.950158,2459631.885,2.0436029,13.3605,321.632,1179.0,314.443,5568.0,4.32,1.13,0.98,,12.30599976,2.780331484,177
58858008,True,False,6842.01,11.5955,1,20.636935,13.352227,2460209.339,5.392095501,18.24523871,534.3923671,1226.266351,399.765,5752.18,4.14674,1.419330001,1.03,0.007,12.18299961,3.400568533,181
13574009,True,False,5884.01,10.5002,1,320.450532,23.926451,2459822.297,5.8311038,15.2747,354.772,1209.0,440.704,6390.0,3.83,2.29,1.28,,10.96000004,9.788160717,181
257207557,True,False,6184.01,11.8836,1,342.638433,9.443405,2459847.822,3.6153701,13.6892,350.5,1205.0,334.216,5516.0,4.32,1.13,0.969,,12.39999962,2.641067634,182
372048733,True,False,7169.01,11.908,1,351.05469,36.817566,2460560.151,3.437571054,15.02902011,1056.468569,1454.065247,467.151,5874.0,4.15198,1.431190014,1.06,,12.09000015,3.947633013,184
